zip_code	value
	100.0
94915	75.0
94803	100.0
94974	100.0
95965	100.0
95032	0.0
94132	100.0
95624	100.0
94964	82.8125
94561	100.0
95404	0.0
94912	68.1818181818
94939	77.4974772957
94976	100.0
94977	88.8888888889
94970	35.0140056022
94971	10.0961538462
94972	0.0
94973	64.7887323944
94930	70.0453857791
unknown	0.0
94110	0.0
94933	78.612716763
94978	76.6666666667
94979	69.696969697
94937	65.4761904762
93446	0.0
17403	100.0
94956	54.3701799486
94957	69.5961995249
94954	0.0
94940	38.9830508475
94952	18.8235294118
94950	52.2222222222
94951	100.0
76483	100.0
94938	70.253164557
94998	66.6666666667
94999	100.0
95476	0.0
94913	20.0
94102	100.0
94963	68.4210526316
95925	0.0
93921	100.0
93905	0.0
94961	66.6666666667
94129	0.0
94901	76.1815570956
94903	74.8686096512
94946	66.4556962025
94904	74.4466800805
94929	0.8
85140	0.0
94925	68.1247293201
94924	48.291571754
94805	0.0
94920	65.2582159624
11111	100.0
94914	80.0
94949	74.8462064252
94948	82.3529411765
94945	80.6662250402
94947	75.3435114504
94960	69.5278969957
94941	73.072553157
94966	73.4513274336
94965	64.8979591837
94942	71.4285714286
